query,intent_category,answer_1,answer_2,answer_3,completeness_1,factuality_1,usefulness_1,completeness_2,factuality_2,usefulness_2,completeness_3,factuality_3,usefulness_3
Είναι ασφαλές να πάω για καφέ;,out_of_scope,"Αν γνωρίζετε ή ανησυχείτε για κάποιον που βρίσκεται σε σχέση κακοποίησης, μπορείτε να κάνετε κάποια πράγματα: Να διατηρείτε τακτικά επαφή με το άτομο για να ελέγχετε αν είναι ασφαλές, εξασφαλίζοντας ότι είναι ασφαλές γι' αυτό να επικοινωνεί μαζί σας.","Ασφαλώς, είναι ασφαλές να πάτε για καφέ! Η ερώτηση αφορά το αν είναι ασφαλές να προσκαλέσετε τους συναδέλφους σας σε εικονικά ραντεβού για καφέ, και η απάντηση είναι ναι. Η πρόταση παρέχει επίσης κάποιες συμβουλές για το πώς να συνδεθείτε με τους συναδέλφους σας και να χτίσετε εμπιστοσύνη. Η δημιουργία ενός κώδικα με έναν έμπιστο γείτονα μπορεί επίσης να βοηθήσει στην περίπτωση έκτακτης ανάγκης. Η πρόταση αναφέρει επίσης ότι εάν κάποιος χρειάζεται επείγουσα ιατρική φροντίδα, θα πρέπει να καλέσει ασθενοφόρο ή να επικοινωνήσει με τις υπηρεσίες επείγουσας υγειονομικής περίθαλψης της χώρας του. Εάν χρειάζεστε οποιαδήποτε άλλη υποστήριξη, μπορείτε να επικοινωνήσετε με μια εξειδικευμένη υπηρεσία ή με έναν πάροχο υγείας.",,1,2,1,2,3,3,,,
Σου έχουν πει τι συμπτώματα βγαίνουν από το εμβόλιο;,faq,Οι περισσότερες παρενέργειες υποχωρούν μέσα σε λίγες ημέρες από μόνες τους.,"Με βάση τις διαθέσιμες πληροφορίες, τα συμπτώματα που σχετίζονται με το εμβόλιο της AstraZeneca είναι πολύ σπάνια και εμφανίζονται σε περίπου τέσσερα έως έξι άτομα σε κάθε εκατομμύριο εμβολιασθέντων. Τα συμπτώματα μπορεί να περιλαμβάνουν πυρετό, πονοκέφαλο, ναυτία και μυϊκό πόνο. Είναι σημαντικό να σημειωθεί ότι αυτά τα συμπτώματα δεν υποδεικνύουν απαραίτητα ότι το εμβόλιο δεν λειτουργεί. Τα εμβολιασμένα άτομα μπορούν ακόμα να μολυνθούν από το COVID-19, αλλά είναι πολύ πιο πιθανό να εμφανίσουν ήπια συμπτώματα εάν μολυνθούν. Εάν εμφανίσετε επίμονο πόνο στο στήθος, δύσπνοια ή ταχυκαρδία ή ταχυπαλμία, είναι σημαντικό να επικοινωνήσετε αμέσως με τον γιατρό σας.","Πιθανά συμπτώματα τα οποία μπορεί να εμφανιστούν μετά τον εμβολιασμό είναι πόνος στους μυς και στο χέρι στο οποίο έγινε η ένεση, πυρετός, πονοκέφαλος και αδιαθεσία. Τα συμπτώματα αυτά θεωρούνται ελαφρά και προσωρινά. Συνήθως έχουν διάρκεια ενός εικοσιτετραώρου.",3,4,3,4,5,4,4.0,4.0,4.0
"Σε παρακαλώ πες μου αν εμφανίσω αλλεργία στην πρώτη δόση, θα κάνω τη δεύτερη με άλλο εμβόλιο;",faq,"Εάν σας προσφερθεί ένας διαφορετικός τύπος εμβολίου, μπορείτε να προχωρήσετε στον εμβολιασμό. Ανάλογα με τον τύπο του εμβολίου, η χρήση διαφορετικού τύπου εμβολίου μπορεί να παρέχει καλύτερη προστασία από τη χρήση του ίδιου τύπου εμβολίου. Μπορώ να εξακολουθήσω να λαμβάνω το COVID-19 αφού έχω εμβολιαστεί; Ναι.","Είναι ασφαλές να κάνετε το δεύτερο εμβόλιο COVID-19 με διαφορετικό τύπο εμβολίου από το πρώτο. Εάν εμφανιστεί αλλεργική αντίδραση στην πρώτη δόση, είναι πιθανό να αντιμετωπιστεί και να συνεχιστεί με το δεύτερο εμβόλιο με άλλο τύπο εμβολίου. Ωστόσο, είναι σημαντικό να συμβουλευτείτε έναν πάροχο υγειονομικής περίθαλψης για εξατομικευμένες συμβουλές και πιθανές προφυλάξεις ανάλογα με την ατομική κατάσταση υγείας και ιστορικό.","Ο εμβολιασμός με τη δεύτερη δόση θα πρέπει να πραγματοποιηθεί με το ίδιο εμβόλιο. Εξαίρεση μπορεί να αποτελέσουν περιπτώσεις όπως η εμφάνιση θρομβώσεων ή αλλεργικής αντίδρασης στην πρώτη δόση του εμβολίου, αλλά ακόμα και τότε, η έγκριση για διαφορετικό εμβόλιο θα πρέπει να προέλθει από ειδική επιτροπή.",2,4,2,4,4,3,3.0,5.0,5.0
Μπορεί να μεταδοθεί από κάποιον που το έχει περάσει;,out_of_scope,"Ακόμα και αν κάποιος που έχει μολυνθεί με COVID-19 περάσει από μια σήραγγα ή έναν θάλαμο απολύμανσης, μόλις αρχίσει να μιλάει, να βήχει ή να φτερνίζεται μπορεί ακόμα να μεταδώσει τον ιό","Ναι, είναι δυνατόν να μεταδοθεί από κάποιον που έχει αναρρώσει από COVID-19. Η μετάδοση μπορεί να συμβεί όταν το άτομο που έχει αναρρώσει αρχίζει να μιλάει, να βήχει ή να φτερνίζεται, απελευθερώνοντας σταγονίδια που περιέχουν τον ιό. Είναι σημαντικό να σημειωθεί ότι ενώ ορισμένες παραλλαγές του ιού μπορεί να είναι πιο μεταδοτικές, η ανίχνευση επαφών και η υποστηριζόμενη καραντίνα των επαφών είναι απαραίτητη για τον έλεγχο της εξάπλωσης του ιού. Οι υγειονομικές αρχές θα πρέπει να ενημερώνουν τα άτομα που μπορεί να είναι επαφές, και τα άτομα θα πρέπει να παρακολουθούν για συμπτώματα και να ακολουθούν τα πρωτόκολλα αυτο-απομόνωσης ή καραντίνας.",,2,4,2,2,3,3,,,
Για πόσο καιρό μεταδίδεται ο κορονοϊός;,out_of_scope,/4/ 2020,"Ο κορονοϊός μεταδίδεται κυρίως από άτομο σε άτομο μέσω σταγονιδίων του αναπνευστικού, όπως μέσω του βήχα, του φτερνίσματος ή της ομιλίας. Μπορεί επίσης να μεταδοθεί μέσω επαφής με μολυσμένες επιφάνειες ή αντικείμενα, όπως όταν αγγίζουμε μια επιφάνεια που έχει τον ιό και στη συνέχεια αγγίζουμε τα μάτια, τη μύτη ή το στόμα μας. Ο ιός μπορεί να επιβιώσει σε επιφάνειες για διαφορετικές χρονικές περιόδους ανάλογα με το υλικό και τις συνθήκες. Σύμφωνα με τα διαθέσιμα δεδομένα, ο ιός μπορεί να επιβιώσει για αρκετές ώρες έως αρκετές ημέρες σε διάφορες επιφάνειες. Ο χρόνος επιβίωσης μπορεί να ποικίλλει ανάλογα με τις συνθήκες, όπως η θερμοκρασία, η υγρασία και ο τύπος της επιφάνειας.",,1,1,1,2,3,2,,,
μπορώ να πάρω τεστ covid από το φαρμακείο;,out_of_scope,Τα συγκεκριμένα τεστ είναι εύκολα στη χρήση και προορίζονται για κατ οικον χρήση.,"Ναι, μπορείτε να πάρετε τεστ COVID-19 από ένα φαρμακείο. Τα τεστ είναι δωρεάν και κάθε άτομο δικαιούται τέσσερα τεστ το μήνα. Τα τεστ είναι εύκολα στη χρήση και προορίζονται για κατ οίκον χρήση. Ωστόσο, είναι σημαντικό να σημειωθεί ότι τα συγκεκριμένα τεστ δεν προσδιορίζουν ποιος ήταν ή είναι μολυσμένος ή υποδεικνύουν εάν τα άτομα που απέκκριναν τον ιό εξακολουθούν να είναι μολυσματικά για άλλους. Επιπλέον, είναι σημαντικό να σημειωθεί ότι δεν μπορείτε να αρρωστήσετε από το COVID-19 μέσω επαφής με ούρα, περιττώματα ή λύματα. Τα τεστ είναι δωρεάν και κάθε άτομο δικαιούται τέσσερα τεστ το μήνα. Τα τεστ είναι εύκολα στη χρήση και προορίζονται για κατ οίκον χρήση.",,2,3,2,4,5,4,,,
"Καλημέρα, έχω προγραμματισμένο ραντεβού για εμβολιασμό την Δευτέρα 24/5 αλλά νόσησε άτομο στην εργασία μου που είμαι σε καθημερινή επαφή και μερικές φορές χωρίς μάσκα. Είναι στη φάση της επώασης και δεν έχω έρθει σε επαφή από την Παρασκευή 21/5. τι πρέπει να κάνω Μοριακό τεστ την Δευτέρα η να κάνω το εμβόλιο κανονικά Ευχαριστώ, Εφη",out_of_scope,"Ένα άτομο που είχε προηγούμενη λοίμωξη από COVID-19 και συνιστάται για εμβολιασμό, σύμφωνα με τον πρόσφατο χάρτη πορείας SAGE, θα πρέπει ακόμα να εμβολιαστεί συνιστάται για όσους δεν έχουν λάβει ποτέ εμβόλιο COVID-19 και διατρέχουν υψηλό κίνδυνο σοβαρής νόσου, όπως ηλικιωμένα άτομα, ενήλικες με χρόνια νοσήματα, άτομα με ανοσοκατασταλτικές καταστάσεις και εργαζόμενοι στον τομέα της υγείας με άμεση επαφή με ασθενείς","Εφόσον δεν έχετε έρθει σε επαφή με το άτομο που έχει COVID-19 από την Παρασκευή 21/5, δεν χρειάζεται να κάνετε τεστ πριν από το ραντεβού εμβολιασμού σας τη Δευτέρα 24/5. Μπορείτε να κάνετε το εμβόλιο κανονικά, καθώς το εμβόλιο δεν θα επηρεάσει τη φυσική σας ανοσία από την προηγούμενη έκθεσή σας στον ιό. Βεβαιωθείτε ότι ακολουθείτε τις οδηγίες ασφαλείας για να αποφύγετε τη διάδοση του ιού, όπως η χρήση μάσκας και η τήρηση απόστασης από άλλους.",,1,2,1,4,4,4,,,
όχι θέλω να μάθω αν μπορώ να κάνω σεξ αν έχω covid,out_of_scope,Ο εμβολιασμός κατά της COVID-19 δεν θα σας μαγνητίσει το σώμα σας,"Ερώτηση: Όχι, δεν μπορείτε να κάνετε σεξ αν έχετε COVID-19. Το COVID-19 μεταδίδεται μέσω της στενής επαφής, και το σεξ περιλαμβάνει στενή επαφή.",,1,1,1,4,5,4,,,
μπορώ να σε ρωτήσω αν μια εγκυος κάνει το εμβόλιο κανονικα,faq,οι έγκυες γυναίκες μπορούν να εμβολιαστούν κατά του COVID-19.,"Οι έγκυες γυναίκες μπορούν να εμβολιαστούν κατά του COVID-19 και συνιστάται να το κάνουν εάν σχεδιάζουν να μείνουν έγκυες. Δεν υπάρχουν στοιχεία που να υποδεικνύουν ότι τα εμβόλια COVID-19 επηρεάζουν τη γονιμότητα. Σύμφωνα με τις διαθέσιμες πληροφορίες, τα εμβόλια COVID-19 προσφέρουν ισχυρή προστασία από σοβαρή ασθένεια, νοσηλεία και θάνατο από COVID-19. Επιπλέον, τα αντισώματα που λαμβάνονται μετά τον εμβολιασμό μπορούν να περάσουν μέσω του μητρικού γάλακτος και να βοηθήσουν στην προστασία του μωρού. Δεν υπάρχουν γνωστές παρενέργειες από τον εμβολιασμό κατά τη διάρκεια της εγκυμοσύνης, και είναι ασφαλές να εμβολιαστεί κανείς κατά τη διάρκεια της εγκυμοσύνης. Οι έγκυες γυναίκες μπορούν να εμβολιαστούν με το νέο επικαιροποιημένο εμβόλιο COVID-19, και δεν είναι απαραίτητο να περιμένουν μέχρι να ολοκληρώσουν το αρχικό σχήμα εμβολιασμού τους με το παλαιό εμβόλιο.","Σύμφωνα με τα μέχρι στιγμής δεδομένα, δεν υπάρχει ανησυχία σχετικά με την ασφάλεια της χορήγησης mRNA εμβολίων σε εγκύους, η οποία και συνιστάται. Ωστόσο, για τα εμβόλια ιικών φορέων (Vaxzevria/AstraZeneca και Janssen/Johnson & Johnson) δεν υπάρχουν ακόμα αρκετά δεδομένα σε σχέση με την εγκυμοσύνη.",2,3,3,5,4,4,4.0,5.0,4.0
Πόσο καιρό επιζεί ο κορονοϊός πάνω στις επιφάνειες;,faq,δεν μπορούν να πολλαπλασιαστούν στην επιφάνεια των συσκευασιών τροφίμων.,"Ο κορονοϊός μπορεί να επιβιώσει πάνω στις επιφάνειες για αρκετές ώρες ή ακόμα και μέρες, ανάλογα με τον τύπο της επιφάνειας και τις περιβαλλοντικές συνθήκες. Οι άνθρωποι μπορεί να μολυνθούν με το άγγιγμα εκτεθειμένων επιφανειών, αλλά αυτό δεν θεωρείται ότι αποτελεί σημαντική οδό μετάδοσης. Ωστόσο, ο κίνδυνος μετάδοσης μέσω επιφανειών είναι γενικά χαμηλός. Ο καθαρισμός επιφανειών με σαπούνι ή απορρυπαντικό είναι συνήθως αρκετός για να απομακρύνει τον κίνδυνο μόλυνσης. Για τις μεταχρονολογημένες επιταγές, η προθεσμία λήξης, εμφάνισης και πληρωμής αξιογράφων εκδόσεως των πληττόμενων επιχειρήσεων αναστέλλεται κατά 75 ημέρες από την αναγραφόμενη ημερομηνία επί εκάστου αξιογράφου.","O ιός μπορεί να επιβιώσει από μερικές ώρες μέχρι και τρεις μέρες ανάλογα με το υλικό της επιφάνειας. Με δεδομένο οτι ο κορωνοϊός μεταδίδεται μέσω του αναπνευστικού με σταγονίδια από το φτέρνισμα, το βήχα ή την εκπνοή, σε περίπτωση που ακουμπήσεις μια μολυσμένη επιφάνεια και μετά το πρόσωπό σου υπάρχει κίνδυνος να κολλήσεις.",3,1,2,4,5,4,2.0,4.0,5.0
τα ανήλικα παιδιά επιτρέπεται να εμβολιαστούν με Johnson’s;,faq,οι έγκυες γυναίκες μπορούν να εμβολιαστούν κατά του COVID-19.,"Τα ανήλικα παιδιά δεν επιτρέπεται να εμβολιαστούν με Johnson's. Μπορούν να εμβολιαστούν με το νέο εμβόλιο κατά του COVID-19, αλλά δεν είναι δικαιούχοι εμβολιασμού με το εμβόλιο Johnson's.","Το Johnson & Johnson’s Janssen (J&J/Janssen) είναι μονοδοσικό εμβόλιο κατά του κορωνοϊού, εγκεκριμένο στην Ευρώπη. Συστήνεται για άτομα άνω των 18 ετών.",1,2,1,4,4,4,3.0,3.0,2.0
όχι θέλω να μάθω αν μπορώ να κάνω σεξ αν έχω covid,out_of_scope,Ο εμβολιασμός κατά της COVID-19 δεν θα σας μαγνητίσει το σώμα σας,"Ερώτηση: Όχι, δεν μπορείτε να κάνετε σεξ αν έχετε COVID-19. Το COVID-19 μεταδίδεται μέσω της στενής επαφής, και το σεξ περιλαμβάνει στενή επαφή.",,1,2,2,5,5,5,,,
Ποιος τύπος μάσκας είναι πιο προστατευτικός;,faq,"μάσκα υψηλής αναπνευστικής προστασίας (τύπου FFP2/KN95/FFP3),","Οι πιο προστατευτικές μάσκες είναι οι μάσκες υψηλής αναπνευστικής προστασίας (τύπου FFP2, KN95 ή FFP3), καθώς παρέχουν υψηλότερο βαθμό προστασίας από τις υφασμάτινες μάσκες ή τις μάσκες μιας χρήσης. Όταν δεν είναι διαθέσιμες μάσκες υψηλής αναπνευστικής προστασίας, οι υφασμάτινες μάσκες ή οι μάσκες μιας χρήσης μπορούν να προσφέρουν κάποιο επίπεδο προστασίας, αλλά δεν είναι τόσο αποτελεσματικές όσο οι μάσκες υψηλής αναπνευστικής προστασίας.","Οι υφασμάτινες μάσκες συστήνονται από όλους τους οργανισμούς (με την προϋπόθεση οτι πλένονται συχνά), βέβαια οι χειρουργικές μάσκες, συγκεκριμένα η ΚΝ95 θεωρείται οτι προστατεύουν περισσότερο.",4,5,5,5,5,5,4.0,4.0,4.0
Μεταδίδεται ο ιός από τα τρόφιμα;,faq,Προς το παρόν δεν υπάρχουν στοιχεία που να αποδεικνύουν ότι οι άνθρωποι μπορούν να κολλήσουν τον ιό COVID-19 από τα τρόφιμα,"Όχι, ο ιός δεν μεταδίδεται μέσω των τροφίμων, αλλά μπορεί να μεταδοθεί μέσω της άμεσης επαφής με αναπνευστικά σταγονίδια. Είναι σημαντικό να σημειωθεί ότι δεν υπάρχουν στοιχεία που να αποδεικνύουν ότι οι άνθρωποι μπορούν να κολλήσουν τον ιό COVID-19 από τα τρόφιμα. Ο ιός μπορεί να θανατωθεί σε θερμοκρασίες παρόμοιες με εκείνες άλλων γνωστών ιών και βακτηρίων που βρίσκονται στα τρόφιμα, και τα τρόφιμα πρέπει πάντα να μαγειρεύονται καλά στους 70°C τουλάχιστον. Επιπλέον, δεν υπάρχουν στοιχεία που να υποδηλώνουν ότι τα ζώα τροφίμων θα μπορούσαν να αποτελέσουν πιθανή οδό μετάδοσης του COVID-19 στον άνθρωπο ή ότι τα ζώα τροφίμων μπορούν να μολυνθούν από τον άνθρωπο.","Παρά τη μεγάλη κλίμακα της πανδημίας, μέχρι σήμερα δεν έχει αναφερθεί μετάδοση μέσω κατανάλωσης τροφίμων. Επομένως, όπως αναφέρει η Ευρωπαϊκή Αρχή για την Ασφάλεια των Τροφίμων, δεν υπάρχουν στοιχεία που να αποδεικνύουν ότι τα τρόφιμα ενέχουν κίνδυνο για τη δημόσια υγεία σε σχέση με τον κορωνοϊό.",3,3,3,4,4,4,5.0,5.0,5.0
Πρέπει να πάρω αντιβίωση;,out_of_scope,"το προσωπικό της εγκατάστασης καταλύματος θα πρέπει να επικοινωνήσει με την τοπική υγειονομική αρχή και να ακολουθήσει τις οδηγίες της. Το άρρωστο άτομο θα πρέπει να απομονωθεί σε ένα δωμάτιο, μόνο του, ή τουλάχιστον 1 μέτρο μακριά από άλλους, σύμφωνα με τις οδηγίες των τοπικών υγειονομικών αρχών.","Βεβαίως, θα χαρώ πολύ να σας βοηθήσω με αυτό! Με βάση τις πληροφορίες που παρέχονται, φαίνεται ότι δεν υπάρχει λόγος να ανησυχείτε για το να κολλήσετε COVID-19 τρώγοντας φρέσκα τρόφιμα, όπως φρούτα και λαχανικά. Είναι σημαντικό να ακολουθείτε τις σωστές διαδικασίες κατά την προετοιμασία και την κατανάλωση τροφίμων, αλλά δεν υπάρχουν αποδείξεις ότι τα τρόφιμα είναι πηγή μόλυνσης. Επιπλέον, είναι σημαντικό να σημειωθεί ότι η κατανάλωση άγριων θηραμάτων μπορεί να υπόκειται σε συγκεκριμένους κανονισμούς, οπότε είναι σημαντικό να ελέγχετε τους κανονισμούς της χώρας σας. Σε ό,τι αφορά την άσκηση, είναι σημαντικό να ακολουθείτε τις κατάλληλες οδηγίες και να μένετε ενήμεροι για τους περιορισμούς που ισχύουν στη χώρα σας.",,1,1,1,1,3,1,,,
Επιβαρύνομαι χρηματικά για να εμβολιαστώ;,faq,θα πρέπει να εμβολιαστείτε εάν σχεδιάζετε να μείνετε έγκυος,"Όχι, δεν υπάρχει κάποια οικονομική επιβάρυνση για τον εμβολιασμό. Ο εμβολιασμός κατά του COVID-19 συνιστάται για όσους διατρέχουν υψηλό κίνδυνο σοβαρής νόσου, όπως ηλικιωμένα άτομα, ενήλικες με χρόνια νοσήματα, άτομα με ανοσοκατασταλτικές καταστάσεις και εργαζόμενοι στον τομέα της υγείας με άμεση επαφή με ασθενείς. Το εμβόλιο COVID-19 μπορεί να χορηγηθεί με ασφάλεια ανά πάσα στιγμή κατά τη διάρκεια της εγκυμοσύνης, και συνιστάται μια εφάπαξ δόση. Δεν υπάρχουν στοιχεία που να υποδεικνύουν ότι τα εμβόλια COVID-19 επηρεάζουν τη γονιμότητα.",Το εμβόλιο κατά του κορωνοϊού προσφέρεται δωρεάν σε κάθε πολίτη της χώρας μας από την Ευρωπαϊκή Ένωση και το Ελληνικό Κράτος.,1,1,1,3,3,4,5.0,5.0,5.0
μπορώ να κάνω σεξ αν έχω covid,out_of_scope,το να κάνετε σεξ με κάποιον σημαίνει ότι βρίσκεστε πολύ κοντά του. Αυτό θέτει το ένα άτομο σε κίνδυνο εάν το άλλο άτομο έχει το COVID-19.,"Δεν πρέπει να κάνετε σεξ εάν έχετε εκτεθεί σε κάποιον που έχει COVID-19 ή έχετε εσείς οι ίδιοι συμπτώματα του COVID-19. Αυτό συμβαίνει επειδή το σεξ περιλαμβάνει στενή σωματική επαφή, η οποία μπορεί να αυξήσει τον κίνδυνο μετάδοσης του ιού. Εάν ζείτε στο ίδιο νοικοκυριό με τον σεξουαλικό σας σύντροφο και και οι δύο λαμβάνετε μέτρα για την προστασία σας από τον ιό, δεν είναι απαραίτητο να απέχετε από το σεξ.",,3,4,4,5,4,5,,,
Πόσες μέρες πρέπει να μείνω σε καραντίνα;,out_of_scope,14 ημέρες,"Είμαι ένα AI, δεν έχω φυσική παρουσία ή την ικανότητα να μεταφέρω προμήθειες ή να παρέχω υποστήριξη. Ωστόσο, με βάση τις πληροφορίες που δόθηκαν, ο ΠΟΥ συνιστά την υποστηριζόμενη καραντίνα για 14 ημέρες από την τελευταία επαφή με επιβεβαιωμένο κρούσμα για να ελαχιστοποιηθεί ο κίνδυνος μόλυνσης άλλων.",,2,4,3,3,4,4,,,
Κινδενεύουν περισσότεροι αυτού που καπνίζουν;,faq,ο ΠΟΥ συνιστά τη διακοπή της χρήσης καπνού. Η διακοπή του καπνίσματος θα βοηθήσει τους πνεύμονες και την καρδιά σας να λειτουργούν καλύτερα από τη στιγμή που θα σταματήσετε.,"Με βάση τις παρεχόμενες πληροφορίες, δεν είναι σαφές αν περισσότεροι άνθρωποι πεθαίνουν από το κάπνισμα σε σύγκριση με αυτούς που πάσχουν από COVID-19. Ωστόσο, είναι ευρέως αποδεκτό ότι το κάπνισμα θέτει σημαντικούς κινδύνους για την υγεία και αυξάνει την πιθανότητα σοβαρών μορφών COVID-19. Επομένως, συνιστάται να διακόψετε το κάπνισμα για να βελτιώσετε την υγεία των πνευμόνων και της καρδιάς σας.","Στην ομάδα υψηλού κινδύνου ανήκουν άνθρωποι άνω των 60 ετών, όσοι ζουν σε εγκαταστάσεις μακροπρόθεσμης περίθαλψης και όσοι έχουν υποκείμενα νοσήματα.",2,3,2,4,5,5,1.0,5.0,3.0
Το σύνδρομο Long Covid πλήττει μόνο τους ενήλικες ή και τα παιδιά;,faq,Το πολυσυστηματικό φλεγμονώδες σύνδρομο στα παιδιά (MIS-C) είναι μια σοβαρή επιπλοκή της νόσου.,"Το σύνδρομο Long Covid μπορεί να πλήξει τόσο τους ενήλικες όσο και τα παιδιά. Ωστόσο, είναι σημαντικό να σημειωθεί ότι οι πληροφορίες αναφέρουν ότι τα παιδιά μπορεί να αναπτύξουν ένα σοβαρό φλεγμονώδες σύνδρομο λίγες εβδομάδες μετά τη μόλυνση από COVID-19. Αυτό το σπάνιο σύνδρομο έχει κοινά κλινικά χαρακτηριστικά με άλλα παιδιατρικά φλεγμονώδη σύνδρομα, όπως η νόσος Kawasaki, το σύνδρομο τοξικού σοκ και το σύνδρομο ενεργοποίησης μακροφάγων.","Σύμφωνα με το Υπουργείο Υγείας, η νόσος δεν πλήττει μόνο τους ενήλικες αλλά και τα παιδιά. Το «σύνδρομο Long Covid» έχει ιδιαίτερα αρνητική επίδραση στην ποιότητα ζωής των παιδιών αφού τα εμποδίζει να συμμετάσχουν σε σχολικές και εξωσχολικές δραστηριότητες, με σημαντικές αρνητικές επιπτώσεις στην κοινωνικοποίησή τους και την ψυχολογία τους.",1,1,1,3,4,3,4.0,5.0,4.0
Ταξίδι;,out_of_scope,3.,"Σίγουρα! Θα χαρώ πολύ να βοηθήσω. Με βάση τις πληροφορίες που δόθηκαν, θα έλεγα ότι η απάντηση στην ερώτηση ""Ταξίδι;"" είναι:  Η απάντηση είναι:  * **Φορέστε συνεχώς μάσκα ενώ ταξιδεύετε** * **Καθαρίζετε τακτικά τα χέρια σας με απολυμαντικό χεριών** * **Καλύψτε το βήχα ή το φτέρνισμα με έναν λυγισμένο αγκώνα ή ένα χαρτομάντιλο** * **Διατηρείτε απόσταση από τους άλλους όπου είναι δυνατόν**  Αυτές είναι όλες χρήσιμες συμβουλές για να βοηθήσετε στην πρόληψη της εξάπλωσης των μικροβίων και στη μείωση του κινδύνου ασθένειας κατά τη διάρκεια του ταξιδιού σας.",,1,2,1,2,3,3,,,
Τι να κάνω εάν έχω στενή επαφή με κάποιον που έχει COVID-19;,out_of_scope,τα άτομα που έχουν έρθει σε επαφή με άτομο με λοίμωξη COVID-19 θα πρέπει να απομονωθούν εάν είχαν πρόσωπο με πρόσωπο ή άμεση σωματική επαφή με κάποιον που έχει λοίμωξη COVID-19 ή υπάρχει υποψία ότι έχει λοίμωξη COVID-19.,"Αν έχετε στενή επαφή με κάποιον που έχει COVID-19, κάντε τα ακόλουθα:  1. Καλέστε τον πάροχο υγειονομικής περίθαλψης για να εξεταστείτε ή να εξεταστείτε μόνοι σας στο σπίτι εάν αισθάνεστε αδιαθεσία. 2. Φορέστε μάσκα όταν αλληλεπιδράτε με άλλους εντός ή εκτός του νοικοκυριού σας ή όταν μοιράζεστε χώρο με άλλους. 3. Ασκήστε αναπνευστική εθιμοτυπία: καλύψτε το στόμα και τη μύτη σας με τον λυγισμένο αγκώνα σας ή ένα χαρτομάντιλο όταν βήχετε ή φτερνίζεστε. 4. Ακολουθήστε τις οδηγίες για την κοινωνική απόσταση και την αποφυγή πολυσύχναστων, κλειστών ή κακώς αεριζόμενων χώρων.",,3,4,4,4,3,4,,,
Είναι επικίνδυνη η μάσκα κατά την γυμναστική;,faq,"Ακόμη και όταν βρίσκεστε σε περιοχή με ενεργή μετάδοση του COVID-19, οι μάσκες δεν πρέπει να φοριούνται κατά τη διάρκεια έντονης σωματικής δραστηριότητας, λόγω του κινδύνου μείωσης της αναπνευστικής σας ικανότητας","Αν ασκείστε σε περιοχή με ενεργή μετάδοση του COVID-19, δεν πρέπει να φοράτε μάσκα κατά τη διάρκεια έντονης σωματικής δραστηριότητας, λόγω του κινδύνου μείωσης της αναπνευστικής σας ικανότητας.","Ακόμα και όταν παίζει ή τρέχει το παιδί, δεν υπάρχει κίνδυνος λόγω της μάσκας. Εξαιρείται η περίπτωση της έντονης γυμναστικής άσκησης ή περιπτώσεις ύπαρξης χρόνιου σοβαρού αναπνευστικού προβλήματος.",3,4,4,3,4,4,3.0,2.0,2.0
Μπορείς να μου πεις ποιος είναι ασυμπτωματικός;,faq,άτομα που έχουν μολυνθεί αλλά δεν εμφανίζουν ποτέ συμπτώματα,Ο ασυμπτωματικός αναφέρεται σε άτομα που έχουν μολυνθεί από τον ιό COVID-19 αλλά δεν εμφανίζουν συμπτώματα.,"Ασυμπτωματικό θεωρείται το άτομο που δεν εμφανίζει συμπτώματα όσο περνάει τον κορωνοϊό, αλλά τον μεταδίδει.",3,5,4,5,5,5,3.0,3.0,3.0
γιατί πρέπει να πλένουμε τα χέρια μας;,out_of_scope,"να μειώσετε τις πιθανότητες να μολυνθείτε ή να μεταδώσετε τον ιό COVID-19,","Το πλύσιμο των χεριών είναι σημαντικό γιατί μπορεί να αφαιρέσει μικρόβια, ιούς και βακτήρια από τα χέρια μας, μειώνοντας τον κίνδυνο εξάπλωσης λοιμώξεων σε άλλους. Το πλύσιμο των χεριών είναι ιδιαίτερα σημαντικό σε καταστάσεις όπου τα χέρια είναι εμφανώς βρώμικα, όπως μετά από επίσκεψη σε δημόσιες τουαλέτες, φτέρνισμα ή φύσημα της μύτης, ή μετά την επαφή με ζώα. Το πλύσιμο των χεριών με σαπούνι και νερό είναι ο πιο αποτελεσματικός τρόπος για την αφαίρεση των μικροβίων. Αν δεν είναι διαθέσιμο σαπούνι και νερό, μπορεί να χρησιμοποιηθεί απολυμαντικό χεριών.",,4,5,4,4,5,4,,,
Ταξίδι;,out_of_scope,3.,"Σίγουρα! Θα χαρώ πολύ να βοηθήσω. Με βάση τις πληροφορίες που δόθηκαν, θα έλεγα ότι η απάντηση στην ερώτηση ""Ταξίδι;"" είναι:  Η απάντηση είναι:  * **Φορέστε συνεχώς μάσκα ενώ ταξιδεύετε** * **Καθαρίζετε τακτικά τα χέρια σας με απολυμαντικό χεριών** * **Καλύψτε το βήχα ή το φτέρνισμα με έναν λυγισμένο αγκώνα ή ένα χαρτομάντιλο** * **Διατηρείτε απόσταση από τους άλλους όπου είναι δυνατόν**  Αυτές είναι όλες χρήσιμες συμβουλές για να βοηθήσετε στην πρόληψη της εξάπλωσης των μικροβίων και στη μείωση του κινδύνου ασθένειας κατά τη διάρκεια του ταξιδιού σας.",,1,1,1,3,4,3,,,
